strategy,n_signals,n_trades,win_rate,profit_factor,total_profit,max_drawdown,sharpe,expectancy
momentum,467422,467417,0.47177359830729304,1.7670116278456998,46880.28299999915,-487.8469999997699,162.98146463594506,0.10023820339552214
ema_crossover,488538,488533,0.46893863874088343,1.7447218287540602,47805.69599999905,-492.7059999998826,159.19781006337658,0.09779937047489762
rsi_meanrev,97738,97738,0.5213836992776607,2.159773571826788,13431.825999999835,-120.62599999995996,222.86794067528558,0.1373863124578941
breakout,124643,124640,0.4707637997432606,1.7614839198728522,12449.476999999795,-191.56399999994687,162.14978790727784,0.09982777873461524
ema_momentum,270026,270021,0.4654934245854952,1.7232029965905735,25842.12299999952,-232.44899999987683,155.63009585973674,0.09565275693480246
