threshold,n_trades,win_rate,pf,profit,max_dd,sharpe
0.5,49648,0.8036174669674508,8.184205128205129,17511.5,-2.0,713.1179313050048
0.7,49648,0.804,8.18,17512.0,-2.0,713.12
